Price,Close,High,Low,Open,Volume
Ticker,TIP,TIP,TIP,TIP,TIP
Date,,,,,
2003-12-05,51.901771545410156,52.08012737375797,51.723415717062345,51.723415717062345,48500
2003-12-08,51.85590744018555,51.93234675896082,51.79985219894137,51.927249767611734,43900
2003-12-09,51.72344207763672,51.99862144784508,51.72344207763672,51.901797996882664,80000
2003-12-10,51.86101150512695,51.922163750645495,51.794766155048094,51.90177966880598,98000
2003-12-11,52.0648307800293,52.12088601411263,51.70811918846695,51.70811918846695,75500
2003-12-12,52.02408218383789,52.15147978411709,52.0240821838379,52.029179176451606,82000
2003-12-15,51.91197967529297,52.049567383836845,51.820253240308205,51.97822503305609,146300
2003-12-16,51.85590744018555,51.88648161254956,51.71322278533319,51.81004229377429,135400
2003-12-17,51.84062957763672,52.02917552458173,51.825338600868854,52.00369833903383,138400
2003-12-18,52.0648307800293,52.06992777072726,51.85080382509189,51.85080382509189,107400
2003-12-19,52.03934097290039,52.08010522499681,51.89665248303961,51.90174947250059,87800
2003-12-22,51.98332214355469,52.044470508438366,51.8763086171417,52.018993319025675,287300
2003-12-23,51.72344207763672,51.922182085920404,51.72344207763672,51.88141390784492,111400
2003-12-24,52.01390838623047,52.02409848678497,51.86612665705185,51.92727892398118,34600
2003-12-26,52.10560989379883,52.10560989379883,52.04445765615005,52.07503571890723,32800
2003-12-29,51.9527702331543,52.02920961561515,51.89671494520758,51.99353842218255,127300
2003-12-30,51.81513595581055,51.937436525273554,51.77436780336787,51.81513595581055,103300
2003-12-31,51.890132904052734,51.936050885238046,51.87482820777227,51.89523576692753,74800
2004-01-02,51.77790832519531,51.85443572118584,51.62995639757233,51.78301118955336,106900
2004-01-05,51.70647430419922,51.70647430419922,51.56872813057201,51.6044403898342,115700
2004-01-06,52.03810501098633,52.06361544292989,51.808526692876036,51.828930367616366,114000
2004-01-07,52.07890701293945,52.15543439712755,51.94625980650305,51.987074930382626,101700
2004-01-08,51.87994384765625,52.07891273299225,51.72178619833787,51.966673076167865,132100
2004-01-09,52.272762298583984,52.308474551572615,52.15542370691147,52.29316985634087,112800
2004-01-12,52.231964111328125,52.41052932648751,52.15033774618933,52.17074531056026,132500
2004-01-13,52.48701477050781,52.48701477050782,52.23192623934651,52.262539509878486,115400
2004-01-14,52.497249603271484,52.51255430085349,52.385009964544444,52.471739179071974,85400
2004-01-15,52.563575744628906,52.56357574462891,52.41562383479742,52.45133609631919,63300
2004-01-16,52.58906555175781,52.691099432573004,52.51253819497489,52.691099432573004,101200
2004-01-20,52.543148040771484,52.60947356699079,52.471723545106904,52.497233961705575,140200
2004-01-21,52.757442474365234,52.78294900686601,52.60438770998323,52.64520283279768,174600
2004-01-22,52.844181060791016,52.8696875978143,52.66051686790518,52.731941399322444,175400
2004-01-23,52.47172927856445,52.915584886415985,52.47172927856446,52.86966690998965,257400
2004-01-26,52.27785873413086,52.44111528377171,52.25745117888286,52.43601242187391,242000
2004-01-27,52.48701477050781,52.50232335194485,52.28804602758936,52.28804602758936,243500
2004-01-28,52.272762298583984,52.66049811127746,52.23194718307022,52.476833983809165,282300
2004-01-29,52.24726867675781,52.26767234721116,52.08911103815981,52.20135068737626,219200
2004-01-30,52.52275466918945,52.53806325868843,52.28807356401219,52.31358398749969,111700
2004-02-02,52.61458206176758,52.71661985429208,52.49724346579415,52.53805858280395,161500
2004-02-03,52.71155548095703,52.79828474867373,52.69114790755075,52.79828474867373,112500
2004-02-04,52.71155548095703,52.74216489489313,52.64523378664661,52.66053849361465,128900
2004-02-05,52.55337905883789,52.70642995506565,52.45134123567442,52.6809234185335,169000
2004-02-06,52.767669677734375,52.84929607026202,52.72685453529744,52.767669677734375,156400
